YearsExperience,Salary,Industry,Education,Location,JobTitle,Gender,Age,SkillScore,PerformanceRating
2.3,89969.0,Education,Bachelor's,Austin,Mid Developer,Female,23,48.3,5
15.1,140416.0,Healthcare,Master's,Austin,Mid Developer,Female,39,69.2,3
6.6,112299.0,Finance,Associate,New York,Analyst,Female,26,64.2,2
4.6,86852.0,Government,PhD,Seattle,Mid Developer,Female,27,57.7,5
0.8,87886.0,Education,Associate,Seattle,Senior Developer,Male,25,45.3,3
0.8,90580.0,Tech,Master's,Seattle,VP,Male,22,49.5,4
0.3,74636.0,Manufacturing,Master's,Chicago,Lead Engineer,Female,21,51.2,1
10.1,111827.0,Government,Associate,Austin,Data Scientist,Male,32,43.9,4
4.6,78120.0,Manufacturing,Bachelor's,Chicago,Junior Developer,Female,29,61.5,3
6.2,103579.0,Education,Master's,Boston,Lead Engineer,Female,29,49.5,2
0.1,70445.0,Healthcare,Bachelor's,Los Angeles,Junior Developer,Male,21,38.6,4
17.5,134429.0,Finance,High School,Boston,Junior Developer,Female,40,59.4,3
8.9,92891.0,Manufacturing,High School,Remote,Analyst,Male,29,45.4,3
1.2,91162.0,Government,Bachelor's,New York,Mid Developer,Male,25,38.2,2
1.0,87016.0,Tech,PhD,San Francisco,Manager,Female,24,44.4,2
1.0,98120.0,Tech,High School,New York,Senior Developer,Female,22,71.0,3
1.8,81904.0,Finance,Bachelor's,Chicago,Senior Developer,Male,22,47.4,2
3.7,77301.0,Government,Master's,Los Angeles,Analyst,Male,24,57.3,5
2.8,79558.0,Manufacturing,Associate,San Francisco,Junior Developer,Female,26,58.2,1
1.7,95996.0,Tech,Bachelor's,Remote,Director,Female,26,53.9,4
4.7,98913.0,Healthcare,Master's,New York,Consultant,Female,25,56.3,2
0.8,76804.0,Finance,Bachelor's,Remote,Manager,Male,24,39.2,3
1.7,83190.0,Manufacturing,High School,Seattle,Analyst,Male,20,67.1,5
2.3,88054.0,Government,High School,New York,Junior Developer,Male,23,71.5,3
3.0,91439.0,Government,High School,Austin,Senior Developer,Female,25,37.7,5
7.7,125998.0,Finance,Master's,San Francisco,Mid Developer,Male,28,51.3,3
1.1,83652.0,Finance,Associate,San Francisco,VP,Male,21,48.9,4
3.6,86922.0,Tech,Associate,San Francisco,Consultant,Female,24,45.8,4
4.5,95842.0,Tech,Bachelor's,Los Angeles,Mid Developer,Male,27,61.8,5
0.2,75142.0,Government,Associate,Austin,Director,Non-binary,22,43.0,4
4.7,88450.0,Government,Bachelor's,San Francisco,Mid Developer,Female,22,78.7,4
0.9,72213.0,Manufacturing,Master's,Chicago,Manager,Female,19,63.3,3
0.3,80540.0,Manufacturing,Bachelor's,Boston,Lead Engineer,Male,21,52.6,3
14.9,137531.0,Healthcare,Bachelor's,San Francisco,Consultant,Male,38,82.6,5
16.9,140832.0,Education,Bachelor's,Seattle,Manager,Female,33,86.4,3
8.3,105522.0,Manufacturing,Master's,New York,Senior Developer,Female,29,56.8,3
1.8,83297.0,Government,Bachelor's,San Francisco,Junior Developer,Female,23,44.5,4
0.5,80356.0,Tech,PhD,Boston,Mid Developer,Male,25,51.5,3
