YearsExperience,Salary
2.3,89969.0
15.1,140416.0
6.6,112299.0
4.6,86852.0
0.8,87886.0
0.8,90580.0
0.3,74636.0
10.1,111827.0
4.6,78120.0
6.2,103579.0
0.1,70445.0
17.5,134429.0
8.9,92891.0
1.2,91162.0
1.0,87016.0
1.0,98120.0
1.8,81904.0
3.7,77301.0
2.8,79558.0
1.7,95996.0
4.7,98913.0
0.8,76804.0
1.7,83190.0
2.3,88054.0
3.0,91439.0
7.7,125998.0
1.1,83652.0
3.6,86922.0
4.5,95842.0
0.2,75142.0
4.7,88450.0
0.9,72213.0
0.3,80540.0
14.9,137531.0
16.9,140832.0
8.3,105522.0
1.8,83297.0
0.5,80356.0
5.8,112712.0
2.9,99552.0
0.7,66140.0
3.4,89384.0
0.2,69638.0
12.0,123300.0
1.5,79732.0
5.4,89273.0
1.9,81895.0
3.7,83128.0
4.0,96358.0
1.0,77705.0
17.5,135426.0
7.5,105615.0
14.0,124727.0
11.3,122267.0
4.6,106768.0
12.7,142534.0
0.5,75553.0
1.1,96268.0
0.2,83401.0
2.0,75914.0
2.5,91200.0
1.6,101033.0
8.8,109710.0
2.2,87670.0
1.6,96371.0
3.9,100292.0
0.8,88602.0
8.1,116455.0
0.4,79496.0
21.7,150598.0
7.4,113599.0
1.1,91087.0
0.0,79315.0
8.4,109872.0
6.1,86831.0
6.5,108864.0
7.4,117146.0
0.4,77472.0
2.2,96705.0
0.6,77457.0
9.9,128887.0
4.9,88313.0
2.0,88362.0
0.3,77295.0
1.9,82522.0
2.0,90694.0
6.5,107898.0
5.1,109838.0
10.9,119376.0
3.2,81957.0
0.6,96527.0
6.2,112112.0
7.2,103072.0
4.1,105648.0
7.4,99996.0
3.4,94378.0
3.7,97714.0
2.8,93215.0
0.1,81760.0
0.6,78806.0
0.2,78480.0
5.1,95375.0
1.9,90533.0
3.6,89404.0
11.9,132726.0
1.4,95968.0
2.6,89690.0
7.0,112265.0
1.3,91837.0
0.4,78046.0
1.7,87918.0
0.9,84511.0
13.3,130898.0
8.3,108289.0
5.0,104653.0
10.3,124488.0
8.1,104324.0
1.0,85554.0
11.2,122127.0
3.9,88295.0
8.2,118794.0
11.3,143901.0
1.9,79082.0
0.6,68182.0
1.3,90271.0
2.8,99163.0
8.5,114003.0
9.9,123596.0
0.0,73741.0
3.6,99473.0
2.7,83763.0
1.3,97395.0
0.6,97120.0
2.1,80147.0
14.3,131194.0
2.0,98027.0
3.7,89863.0
6.1,109467.0
2.3,90193.0
17.8,132033.0
16.4,141259.0
1.5,80732.0
3.4,90825.0
1.8,99339.0
1.7,80858.0
0.2,81966.0
4.7,99528.0
3.5,90962.0
0.3,80813.0
1.6,88750.0
11.9,137435.0
1.4,93165.0
0.8,83290.0
3.4,85972.0
21.2,156429.0
1.4,81567.0
5.6,125723.0
7.2,119667.0
1.4,73411.0
6.5,94220.0
2.3,90745.0
5.0,97628.0
5.0,99291.0
3.8,95850.0
0.5,80546.0
9.0,117673.0
1.9,91757.0
1.0,67296.0
0.2,83372.0
4.5,92339.0
5.7,108512.0
0.1,97162.0
3.6,100270.0
1.3,80732.0
5.2,109284.0
1.0,88312.0
5.9,113431.0
2.4,96325.0
13.8,151142.0
0.7,71113.0
2.1,86469.0
0.6,74519.0
12.9,135914.0
10.5,108451.0
1.5,80811.0
5.4,94059.0
8.5,117607.0
4.1,103178.0
3.8,77824.0
1.4,91609.0
0.5,79773.0
11.4,113602.0
11.5,122064.0
